team,player,x,y,shot_statsbomb_xg,is_goal,on_target
Morocco,Noussair Mazraoui,115.3,29.2,0.07962643,False,True
Croatia,Dejan Lovren,112.7,38.8,0.2503287,False,False
Morocco,Achraf Hakimi Mouh,88.5,31.5,0.019376563,False,True
Wales,Neco Williams,99.5,23.0,0.023614733,False,False
Iran,Sardar Azmoun,97.2,31.2,0.035244513,False,True
Wales,Kieffer Roberto Francisco Moore,111.6,44.5,0.12850787,False,True
Iran,Ahmad Nourollahi,95.5,34.0,0.017788952,False,False
Iran,Sardar Azmoun,109.6,34.7,0.07202582,False,False
Wales,Gareth Frank Bale,88.9,36.5,0.02170084,False,True
Wales,Harry Wilson,105.5,25.4,0.030164797,False,False
Iran,Mehdi Taremi,105.7,38.8,0.08566745,False,False
Iran,Ahmad Nourollahi,86.4,48.2,0.011584845,False,True
Iran,Sardar Azmoun,110.0,49.7,0.28799564,False,False
Iran,Ali Gholizadeh,97.2,48.0,0.04282673,False,False
Iran,Sardar Azmoun,111.0,36.2,0.21401532,False,True
Wales,Kieffer Roberto Francisco Moore,114.4,39.9,0.22100283,False,False
Iran,Ehsan Hajsafi,104.6,33.1,0.068153165,False,False
Iran,Mehdi Taremi,107.1,29.4,0.075855605,False,False
Iran,Ahmad Nourollahi,90.5,45.6,0.015279148,False,False
Iran,Morteza Pouraliganji,100.8,38.5,0.05160931,False,False
Iran,Saeid Ezatolahi Afagh,99.5,49.3,0.047915842,False,True
Iran,Ahmad Nourollahi,85.8,53.5,0.0072957636,False,False
Wales,Aaron Ramsey,104.0,53.9,0.025361432,False,False
Wales,Neco Williams,98.6,51.1,0.031851415,False,False
Wales,Ben Davies,101.7,30.8,0.053537875,False,True
Iran,Karim Ansarifard,99.5,36.2,0.06399969,False,False
Iran,Mehdi Torabi,99.1,39.0,0.051057886,False,False
Wales,Neco Williams,89.9,45.0,0.020104993,False,False
Wales,Brennan Johnson,114.4,52.4,0.059788406,False,False
Iran,Ramin Rezaeian,98.3,52.1,0.031046849,False,False
Iran,Alireza Jahanbakhsh,99.2,46.5,0.031239294,False,False
Iran,Alireza Jahanbakhsh,91.4,24.9,0.011336825,False,False
Iran,Roozbeh Cheshmi,95.1,37.5,0.03268815,True,True
Iran,Ramin Rezaeian,104.8,45.3,0.19933115,True,True
France,Kingsley Coman,112.3,29.9,0.08786314,False,False
Tunisia,Anis Ben Slimane,110.9,41.0,0.1007914,False,True
Tunisia,Wahbi Khazri,95.1,52.3,0.016592033,False,True
France,Youssouf Fofana,99.9,53.4,0.041162748,False,False
Tunisia,Wahbi Khazri,97.9,19.8,0.010898009,False,False
Tunisia,Aïssa Bilal Laïdouni,114.8,22.4,0.013856714,False,False
Tunisia,Wahbi Khazri,103.3,37.8,0.15620883,True,True
France,Axel Disasi,111.3,41.5,0.061025612,False,False
France,Adrien Rabiot,113.8,47.7,0.080746524,False,False
France,Ousmane Dembélé,95.9,53.5,0.020325886,False,True
France,Adrien Rabiot,108.7,29.1,0.06369618,False,False
France,Kylian Mbappé Lottin,116.8,24.7,0.01194291,False,True
France,Randal Kolo Muani,96.4,37.1,0.041042205,False,False
France,Kylian Mbappé Lottin,95.6,30.2,0.06416701,False,False
France,Kylian Mbappé Lottin,87.6,15.0,0.005017159,False,True
England,Marcus Rashford,104.0,39.5,0.28441095,False,True
England,Phil Foden,97.4,54.6,0.02354375,False,False
England,Harry Maguire,120.0,54.6,0.01084097,False,False
England,Marcus Rashford,98.2,19.5,0.010357286,False,False
England,Phil Foden,105.5,47.4,0.05725451,False,False
Wales,Joe Allen,94.1,47.0,0.022615774,False,False
England,Marcus Rashford,108.4,35.0,0.081256144,False,False
England,Harry Kane,101.5,35.7,0.028181294,False,False
England,Harry Kane,101.2,27.6,0.030065771,False,False
England,John Stones,112.8,55.4,0.006450981,False,True
Wales,Joe Allen,100.7,51.3,0.04109325,False,False
England,Marcus Rashford,96.1,29.3,0.05780817,True,True
England,Phil Foden,114.5,34.1,0.44030064,True,True
Wales,Kieffer Roberto Francisco Moore,90.1,22.3,0.00753591,False,True
England,Marcus Rashford,109.9,50.3,0.096602984,True,True
England,Marcus Rashford,110.3,52.4,0.13184288,False,True
Wales,Brennan Johnson,104.5,57.3,0.02192258,False,False
England,Jude Bellingham,104.3,32.8,0.25030845,False,True
England,Jude Bellingham,112.7,29.3,0.24362406,False,False
England,Phil Foden,116.1,39.5,0.6100251,False,False
Wales,Harry Wilson,92.6,52.6,0.031328887,False,False
Wales,Rubin Colwill,98.3,26.1,0.025066664,False,False
Wales,Kieffer Roberto Francisco Moore,102.1,34.6,0.058446433,False,False
England,John Stones,114.4,43.9,0.45507616,False,False
England,Phil Foden,111.0,48.5,0.09753507,False,False
Cameroon,Bryan Mbeumo,109.4,22.7,0.016072592,False,True
Cameroon,Karl Brillant Toko Ekambi,108.7,32.1,0.15900026,False,False
Switzerland,Granit Xhaka,88.1,28.2,0.012105021,False,False
Cameroon,Ngoran Suiru Fai Collins,98.8,59.8,0.009452554,False,False
Cameroon,Martin Hongla Yma II,110.6,53.8,0.08237888,False,True
Switzerland,Nico Elvedi,113.3,38.7,0.19001445,False,False
Cameroon,Jean-Eric Maxim Choupo-Moting,105.2,53.5,0.041722767,False,False
Switzerland,Manuel Obafemi Akanji,114.7,38.7,0.15555824,False,False
Switzerland,Breel-Donald Embolo,111.9,39.5,0.55189455,True,True
