player,team,Goals,xG,Shots_On_Target,Total_Passes,Completed_Passes,Key_Passes,Defensive_Actions,Saves
Borna Sosa,Croatia,0.0,0.048374664,0.0,276.0,222.0,2.0,42.0,0.0
Boualem Khoukhi,Qatar,0.0,0.0,0.0,194.0,167.0,0.0,49.0,0.0
Boulaye Dia,Senegal,1.0,0.662240351,3.0,53.0,39.0,1.0,16.0,0.0
Brandon Aguilera Zamora,Costa Rica,0.0,0.0,0.0,35.0,25.0,0.0,12.0,0.0
Breel-Donald Embolo,Switzerland,2.0,2.391196598,3.0,66.0,50.0,2.0,11.0,0.0
Brenden Aaronson,United States,0.0,0.09428854,0.0,48.0,41.0,3.0,14.0,0.0
Brennan Johnson,Wales,0.0,0.124267868,1.0,18.0,12.0,0.0,10.0,0.0
Bruno Guimarães Rodriguez Moura,Brazil,0.0,0.64781192,2.0,55.0,46.0,0.0,10.0,0.0
Bruno Miguel Borges Fernandes,Portugal,2.0,1.0313368613,3.0,231.0,186.0,9.0,29.0,0.0
Bruno Petković,Croatia,1.0,0.09977819,1.0,80.0,44.0,4.0,12.0,0.0
Bryan Mbeumo,Cameroon,0.0,0.134345962,2.0,81.0,52.0,5.0,13.0,0.0
Bryan Oviedo,Costa Rica,0.0,0.0,0.0,89.0,68.0,0.0,25.0,0.0
Bryan Ruiz González,Costa Rica,0.0,0.0,0.0,13.0,8.0,0.0,3.0,0.0
Bukayo Saka,England,3.0,0.579455465,5.0,111.0,84.0,5.0,18.0,0.0
Callum Wilson,England,0.0,0.0,0.0,12.0,9.0,3.0,3.0,0.0
Cameron Carter-Vickers,United States,0.0,0.0,0.0,55.0,50.0,0.0,11.0,0.0
Carlos Alberto Rodríguez Gómez,Mexico,0.0,0.0,0.0,29.0,20.0,0.0,6.0,0.0
Carlos Armando Gruezo Arboleda,Ecuador,0.0,0.0,0.0,14.0,13.0,0.0,0.0,0.0
Carlos Henrique Casimiro,Brazil,2.0,1.1432915347,4.0,258.0,217.0,4.0,46.0,0.0
Carlos Manuel Martínez Castro,Costa Rica,0.0,0.0,0.0,14.0,10.0,0.0,5.0,0.0
Carlos Soler Barragán,Spain,1.0,1.271484056,2.0,84.0,78.0,2.0,5.0,0.0
Carlos Uriel Antuna Romero,Mexico,0.0,0.30874212,1.0,18.0,9.0,1.0,3.0,0.0
Celso Borges Mora,Costa Rica,0.0,0.0,0.0,113.0,94.0,1.0,34.0,0.0
Chang-Hoon Kwon,South Korea,0.0,0.0,0.0,23.0,19.0,1.0,3.0,0.0
Charles De Ketelaere,Belgium,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0
Cheikh Ahmadou Bamba Mbacke Dieng,Senegal,1.0,0.3838931,1.0,19.0,11.0,1.0,8.0,0.0
Cheikhou Kouyaté,Senegal,0.0,0.0,0.0,26.0,21.0,1.0,8.0,0.0
Chris Mepham,Wales,0.0,0.0,0.0,170.0,143.0,2.0,28.0,0.0
Christian Dannemann Eriksen,Denmark,0.0,0.154105106,1.0,231.0,193.0,9.0,27.0,0.0
Christian Fassnacht,Switzerland,0.0,0.31681746,1.0,10.0,8.0,0.0,3.0,0.0
Christian Mougang Bassogog,Cameroon,0.0,0.0,0.0,9.0,5.0,0.0,1.0,0.0
Christian Nørgaard,Denmark,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0
Christian Pulisic,United States,1.0,1.138087093,5.0,139.0,84.0,9.0,27.0,0.0
Christopher Wooh,Cameroon,0.0,0.05692788,0.0,33.0,27.0,0.0,10.0,0.0
Chul Hong,South Korea,0.0,0.0,0.0,20.0,17.0,1.0,8.0,0.0
Cody Mathès Gakpo,Netherlands,3.0,0.5623670310000001,3.0,154.0,98.0,10.0,47.0,0.0
Connor Roberts,Wales,0.0,0.0,0.0,119.0,92.0,1.0,21.0,0.0
Craig Goodwin,Australia,1.0,0.205087522,1.0,94.0,57.0,5.0,20.0,0.0
Cristian Gabriel Romero,Argentina,0.0,0.0,0.0,372.0,330.0,0.0,63.0,0.0
Cristiano Ronaldo dos Santos Aveiro,Portugal,1.0,1.939259267,3.0,90.0,67.0,4.0,11.0,0.0
Cyle Larin,Canada,0.0,0.249796684,1.0,31.0,21.0,2.0,7.0,0.0
César Azpilicueta Tanco,Spain,0.0,0.0,0.0,179.0,169.0,4.0,9.0,0.0
César Jasib Montes Castro,Mexico,0.0,0.0988946,0.0,192.0,163.0,2.0,24.0,0.0
Daichi Kamada,Japan,0.0,0.42129175,1.0,104.0,83.0,1.0,16.0,0.0
Daizen Maeda,Japan,1.0,0.53585137,1.0,18.0,8.0,0.0,11.0,0.0
Daley Blind,Netherlands,1.0,0.521673045,2.0,304.0,260.0,2.0,34.0,0.0
Damian Szymański,Poland,0.0,0.0,0.0,9.0,9.0,0.0,1.0,0.0
