player,team,Goals,xG,Total_Passes,Successful_Passes
Daniel Ward,Wales,0.0,0.0,39.0,24.0
Daniel-Kofi Kyereh,Ghana,0.0,0.0,24.0,18.0
Danilo Luiz da Silva,Brazil,0.0,0.0323683795,267.0,232.0
Danilo Luís Hélio Pereira,Portugal,0.0,0.0,80.0,72.0
Darko Lazović,Serbia,0.0,0.018288644,11.0,7.0
Darwin Gabriel Núñez Ribeiro,Uruguay,0.0,0.21691335099999998,54.0,36.0
David Junior Hoilett,Canada,0.0,0.11914880800000001,55.0,40.0
David Raum,Germany,0.0,0.0,193.0,151.0
David Wallace Wotherspoon,Canada,0.0,0.0,6.0,3.0
Davy Klaassen,Netherlands,1.0,0.43179539,81.0,60.0
Dayotchanculle Upamecano,France,0.0,0.0,345.0,305.0
DeAndre Yedlin,United States,0.0,0.0,30.0,20.0
Declan Rice,England,0.0,0.0,327.0,306.0
Dejan Lovren,Croatia,0.0,0.381529793,454.0,407.0
Denis Lemi Zakaria Lako Lado,Switzerland,0.0,0.04188712,22.0,19.0
Denis Odoi,Ghana,0.0,0.0,2.0,2.0
Denzel Dumfries,Netherlands,1.0,0.283319202,218.0,148.0
Devis Rogers Epassy Mboka,Cameroon,0.0,0.0,84.0,56.0
Diego Nicolás De La Cruz Arcosa,Uruguay,0.0,0.0429242,24.0,20.0
Diego Roberto Godín Leal,Uruguay,0.0,0.054689027,98.0,85.0
Diogo Meireles Costa,Portugal,0.0,0.0,159.0,111.0
Djibril Sow,Switzerland,0.0,0.150380136,97.0,88.0
Djorkaeff Neicer Reasco González,Ecuador,0.0,0.0,3.0,3.0
Dominik Livaković,Croatia,0.0,0.0,228.0,189.0
Dries Mertens,Belgium,0.0,0.367153732,36.0,24.0
Dušan Tadić,Serbia,0.0,0.061684445,125.0,88.0
Dušan Vlahović,Serbia,1.0,0.7624475099999999,13.0,7.0
Dylan Daniel Mahmoud Bronn,Tunisia,0.0,0.059058707,95.0,71.0
Eden Hazard,Belgium,0.0,0.009158539,59.0,46.0
Ederson Santana de Moraes,Brazil,0.0,0.0,30.0,28.0
Edimilson Fernandes,Switzerland,0.0,0.029247057,81.0,66.0
Edinson Roberto Cavani Gómez,Uruguay,0.0,0.17895877999999998,39.0,29.0
Edouard Mendy,Senegal,0.0,0.0,117.0,90.0
Edson Omar Álvarez Velázquez,Mexico,0.0,0.013687578,109.0,85.0
Eduardo Camavinga,France,0.0,0.0,103.0,91.0
Ehsan Hajsafi,Iran,0.0,0.068153165,99.0,64.0
Ellyes Joris Skhiri,Tunisia,0.0,0.10099208700000001,128.0,109.0
Enner Remberto Valencia Lastra,Ecuador,3.0,1.924592276,51.0,39.0
Enzo Ebosse,Cameroon,0.0,0.0,39.0,34.0
Enzo Fernandez,Argentina,1.0,1.050628615,470.0,416.0
Eray Ervin Cömert,Switzerland,0.0,0.0,41.0,37.0
Eric Dier,England,0.0,0.0,42.0,40.0
Ernesto Alexis Vega Rojas,Mexico,0.0,0.6920090567,54.0,38.0
Ethan Ampadu,Wales,0.0,0.013776194,144.0,110.0
Exequiel Alejandro Palacios,Argentina,0.0,0.046685893,28.0,24.0
Fabian Frei,Switzerland,0.0,0.0,13.0,9.0
Fabian Lukas Schär,Switzerland,0.0,0.103672833,80.0,64.0
Fabian Rieder,Switzerland,0.0,0.0,27.0,14.0
Facundo Pellistri Rebollo,Uruguay,0.0,0.099497445,45.0,35.0
Famara Diedhiou,Senegal,1.0,0.238120196,14.0,10.0
Federico Santiago Valverde Dipetta,Uruguay,0.0,0.11665369960000001,186.0,152.0
Felix Eduardo Torres Caicedo,Ecuador,0.0,0.15397952,199.0,159.0
Ferjani Sassi,Tunisia,0.0,0.020219443,34.0,25.0
Ferrán Torres García,Spain,2.0,1.005212115,86.0,62.0
Filip Kostić,Serbia,0.0,0.012009094,112.0,73.0
Filip Mladenović,Serbia,0.0,0.026318645,24.0,19.0
Filip Đuričić,Serbia,0.0,0.0,6.0,5.0
Firas Tariq Nasser Al Albirakan,Saudi Arabia,0.0,0.124001969,69.0,46.0
Fodé Ballo Touré,Senegal,0.0,0.0,8.0,6.0
Fran Karačić,Australia,0.0,0.05547327569999999,55.0,35.0
Francisco Guillermo Ochoa Magaña,Mexico,0.0,0.0,108.0,90.0
Francisco Javier Calvo Quesada,Costa Rica,0.0,0.014244432,101.0,85.0
Frederico Rodrigues Santos,Brazil,0.0,0.46720207,80.0,68.0
Frenkie de Jong,Netherlands,1.0,0.720993446,364.0,327.0
Fábio Henrique Tavares,Brazil,0.0,0.0,56.0,50.0
Gabriel Fernando de Jesus,Brazil,0.0,0.323986363,27.0,23.0
Gabriel Teodoro Martinelli Silva,Brazil,0.0,0.405829787,46.0,34.0
Garang Kuol,Australia,0.0,0.23394231,4.0,3.0
Gareth Frank Bale,Wales,1.0,0.8052008399999999,55.0,34.0
Gaël Ondoua,Cameroon,0.0,0.0,19.0,17.0
Georges-Kévin Nkoudou Mbida,Cameroon,0.0,0.0070103277,11.0,9.0
Germán Alejandro Pezzella,Argentina,0.0,0.04452438,49.0,47.0
Gerson Torres Barrantes,Costa Rica,0.0,0.01353695,17.0,17.0
Ghilane Chalali,Tunisia,0.0,0.0,5.0,4.0
Gideon Mensah,Ghana,0.0,0.0,45.0,35.0
Giorgian Daniel De Arrascaeta Benedetti,Uruguay,2.0,1.13451217,51.0,34.0
Giovanni Reyna,United States,0.0,0.08602206000000001,35.0,26.0
Gleison Bremer Silva Nascimento,Brazil,0.0,0.34439024,85.0,79.0
Gonzalo Ariel Montiel,Argentina,2.0,1.587604363,82.0,71.0
Gonzalo Jordy Plata Jiménez,Ecuador,0.0,0.105323937,104.0,78.0
Gonçalo Matias Ramos,Portugal,3.0,1.671089706,30.0,24.0
Granit Xhaka,Switzerland,0.0,0.295522079,240.0,211.0
